"จำนวนครัวเรือนที่คนในครัวเรือนมีรายได้เฉลี่ยน้อยกว่า 30,000 บาท ต่อคนต่อปี จากข้อมูลความจำเป็นพื้นฐาน (จปฐ.) ปี 2555 - 2558",,,,,,,,,,,,,
,,,,,,,,,,,,,
ที่,จังหวัด,ปี 2558,,,ปี 2557,,,ปี 2556,,,ปี 2555,,
34,พังงา," 55,788 ", 101 ,0.18," 50,226 ", 23 ,0.05," 43,447 ", 36 ,0.08," 43,161 ", 62 ,0.14
35,พัทลุง," 131,716 ", 11 ,0.01," 130,441 ", 47 ,0.04," 96,943 ", 50 ,0.05," 95,814 "," 2,288 ",2.39
36,พิจิตร," 122,998 ", 913 ,0.74," 118,506 "," 1,403 ",1.18," 88,400 ", 741 ,0.84," 86,393 "," 1,856 ",2.15
37,พิษณุโลก," 183,911 ", 667 ,0.36," 177,640 "," 1,557 ",0.88," 133,046 ", 414 ,0.31," 130,351 ", 933 ,0.72
38,เพชรบุรี," 100,475 ", 225 ,0.22," 98,614 ", 485 ,0.49," 65,430 ", 206 ,0.31," 64,871 "," 2,479 ",3.82
39,เพชรบูรณ์," 239,125 ", 367 ,0.15," 237,852 ", 346 ,0.15," 166,827 ", 616 ,0.37," 162,054 "," 1,802 ",1.11
40,แพร่," 118,794 ", 291 ,0.24," 118,083 ", 365 ,0.31," 88,066 ", 314 ,0.36," 87,421 ", 524 ,0.60
41,ภูเก็ต," 87,140 ", 382 ,0.44," 83,248 ", - ,-," 34,783 ", 3 ,0.01," 34,193 "," 1,300 ",3.80
42,มหาสารคาม," 219,269 "," 1,266 ",0.58," 218,597 "," 1,724 ",0.79," 167,090 "," 2,663 ",1.59," 166,165 "," 5,646 ",3.40
43,มุกดาหาร," 87,742 ", 183 ,0.21," 86,206 ", 274 ,0.32," 59,443 ", 387 ,0.65," 59,003 ", 549 ,0.93
44,แม่ฮ่องสอน," 56,294 "," 1,382 ",2.45," 54,413 "," 1,759 ",3.23," 41,578 "," 4,038 ",9.71," 42,239 "," 6,572 ",15.56
45,ยโสธร," 128,173 ", 218 ,0.17," 127,693 ", 475 ,0.37," 92,976 ", 579 ,0.62," 92,656 "," 1,006 ",1.09
46,ยะลา," 103,107 ", 405 ,0.39," 100,927 ", 292 ,0.29," 62,692 ", 51 ,0.08," 62,538 ", 101 ,0.16
47,ร้อยเอ็ด," 290,033 ", 682 ,0.24," 289,648 ", 772 ,0.27," 218,375 "," 1,292 ",0.59," 217,469 "," 1,829 ",0.84
48,ระนอง," 46,435 ", 223 ,0.48," 43,498 ", 212 ,0.49," 28,245 ", 22 ,0.08," 28,111 ", 279 ,0.99
49,ระยอง," 155,329 ", - ,-," 143,971 ", 27 ,0.02," 59,035 ", 14 ,0.02," 55,562 ", 10 ,0.02
50,ราชบุรี," 162,638 ", 523 ,0.32," 155,591 ", 295 ,0.19," 116,442 ", - ,-," 116,178 ", 88 ,0.08
51,ลพบุรี," 184,246 ", 175 ,0.09," 182,016 ", 181 ,0.10," 117,420 ", 97 ,0.08," 116,423 ", 466 ,0.40
52,ลำปาง," 209,458 "," 3,098 ",1.48," 202,981 "," 4,014 ",1.98," 132,581 ", 788 ,0.59," 131,909 "," 1,677 ",1.27
53,ลำพูน," 114,347 ", 671 ,0.59," 112,572 ", 543 ,0.48," 80,222 ", 431 ,0.54," 79,496 ", 748 ,0.94
54,เลย," 155,650 ", 715 ,0.46," 155,233 ", 641 ,0.41," 106,108 ", 591 ,0.56," 108,370 "," 1,363 ",1.26
55,ศรีสะเกษ," 272,223 "," 1,537 ",0.56," 266,608 "," 1,072 ",0.40," 223,349 "," 1,715 ",0.77," 220,869 "," 4,446 ",2.01
56,สกลนคร," 248,503 ", 312 ,0.13," 247,699 ", 261 ,0.11," 189,032 ", 126 ,0.07," 191,584 ", 792 ,0.41
57,สงขลา," 291,578 ", 219 ,0.08," 226,768 ", 413 ,0.18," 141,182 ", 51 ,0.04," 143,669 ", 159 ,0.11
58,สตูล," 69,399 ", 116 ,0.17," 68,622 ", - ,-," 45,710 ", 2 ,0.00," 44,942 ", 770 ,1.71
59,สมุทรปราการ," 307,386 ", 322 ,0.1," 298,645 ", 648 ,0.22," 79,939 ", - ,-," 79,977 ", 26 ,0.03
60,สมุทรสงคราม," 44,961 ", 21 ,0.05," 44,816 ", - ,-," 27,213 ", - ,-," 27,107 ", - ,-
61,สมุทรสาคร," 117,039 ", 37 ,0.03," 98,097 ", 69 ,0.07," 46,701 ", 22 ,0.05," 44,315 ", 136 ,0.31
62,สระแก้ว," 117,731 ", 153 ,0.13," 115,906 ", 205 ,0.18," 82,606 ", 144 ,0.17," 82,246 ", 345 ,0.42
63,สระบุรี," 137,763 ", 323 ,0.23," 128,250 ", 526 ,0.41," 82,082 ", 25 ,0.03," 80,542 ", 156 ,0.19
64,สิงห์บุรี," 51,807 ", 31 ,0.06," 51,304 ", 47 ,0.09," 33,641 ", 77 ,0.23," 33,358 ", 117 ,0.35
65,สุโขทัย," 135,263 ", 774 ,0.57," 133,605 ", 719 ,0.54," 107,278 ", 613 ,0.57," 105,230 "," 1,215 ",1.15
66,สุพรรณบุรี," 214,583 ", 31 ,0.01," 213,976 ", 50 ,0.02," 151,385 ", 37 ,0.02," 150,621 ", 100 ,0.07
67,สุราษฎร์ธานี," 205,257 ", 680 ,0.33," 180,812 "," 1,012 ",0.56," 135,962 ", 178 ,0.13," 133,786 ", 485 ,0.36
68,สุรินทร์," 265,283 "," 1,085 ",0.41," 262,127 "," 1,063 ",0.41," 227,825 "," 2,068 ",0.91," 226,699 "," 3,773 ",1.66
69,หนองคาย," 100,933 ", 326 ,0.32," 99,735 ", 266 ,0.27," 73,872 ", 904 ,1.22," 73,356 ", 854 ,1.16
70,หนองบัวลำภู," 102,024 ", 264 ,0.26," 101,462 ", 334 ,0.33," 64,968 ", 335 ,0.52," 65,273 ", 641 ,0.98
71,อ่างทอง," 71,170 ", 498 ,0.7," 69,702 ", 418 ,0.60," 45,584 ", 213 ,0.47," 45,669 ", 446 ,0.98
72,อำนาจเจริญ," 84,774 ", 382 ,0.45," 84,243 ", 411 ,0.49," 61,068 ", 481 ,0.79," 60,506 ", 667 ,1.10
73,อุดรธานี," 330,498 "," 1,445 ",0.44," 315,000 "," 2,352 ",0.75," 209,757 "," 1,642 ",0.78," 206,656 "," 2,602 ",1.26
74,อุตรดิตถ์," 118,271 ", 619 ,0.52," 117,901 ", 327 ,0.28," 80,315 ", 465 ,0.58," 80,007 ", 902 ,1.13
75,อุทัยธานี," 83,713 "," 1,318 ",1.57," 83,417 "," 1,073 ",1.29," 54,483 ", 507 ,0.93," 54,305 "," 2,182 ",4.02
76,อุบลราชธานี," 367,651 ", 456 ,0.12," 353,923 ", 199 ,0.06," 292,363 ", 345 ,0.12," 289,136 "," 1,143 ",0.40
,รวม," 12,953,401 "," 51,081 ",0.39," 12,479,362 "," 54,837 ",0.44," 8,489,481 "," 45,168 ",0.53," 8,450,529 "," 108,884 ",1.29
,,,,,,,,,,,,,
, ที่มา : ผลการจัดเก้บข้อมูลความจำเป็นพื้นฐาน (จปฐ.) ปี 2555-2558 ,,,,,,,,,,,,
, รวบรวมโดย ศูนย์สารสนเทศเพื่อการพัฒนาชุมชน กรมการพัฒนาชุมชน กระทรวงมหาดไทย ,,,,,,,,,,,,
, ภายใต้ คณะกรรมการอำนวยการงานพัฒนาคุณภาพชีวิตของประชาชน (พชช.) ,,,,,,,,,,,,
